timestamp,pos_x,pos_y,pos_z,roll,pitch,yaw,imu_pos_x,imu_pos_y,imu_pos_z,vel_x,vel_y,vel_z,uncertainty_x,uncertainty_y,uncertainty_z
11.126839,79.445109,146.257330,-10.717753,0.000415,0.000001,-0.000001,7.596241,0.000017,-40.125279,-1959.514844,-3988.836328,-801.922482,0.121106,0.121106,0.121106
11.176839,42.994900,72.067187,-25.631503,0.003071,0.000001,-0.000000,-18.539201,-53.184487,-50.815187,-1959.686198,-3988.836331,-801.948679,0.099579,0.099579,0.099579
11.226839,13.596911,12.240064,-37.658430,-0.000566,-0.000000,0.000000,-54.997909,-127.374631,-65.730582,-1959.856184,-3988.836356,-801.981578,0.092433,0.092433,0.092433
11.276839,-7.698138,-31.087950,-46.368902,0.000374,-0.000000,0.000001,-84.404190,-187.201754,-77.759309,-1960.022022,-3988.836352,-802.017582,0.089863,0.089863,0.089863
11.326839,-22.184614,-60.553519,-52.292893,-0.000903,0.000001,-0.000000,-105.707596,-230.529768,-86.471630,-1960.189160,-3988.836354,-802.054563,0.088918,0.088918,0.088918
11.376839,-31.650312,-79.797042,-56.162205,-0.000462,0.000000,0.000001,-120.202537,-259.995336,-92.397464,-1960.358451,-3988.836347,-802.091434,0.088568,0.088568,0.088568
11.426839,-37.678940,-92.042936,-58.625025,-0.002346,-0.000001,-0.000000,-129.676848,-279.238860,-96.268585,-1960.530703,-3988.836344,-802.127607,0.088438,0.088438,0.088438
11.476839,-41.457825,-99.709166,-60.167420,-0.000726,-0.000002,-0.000000,-135.713661,-291.484752,-98.733170,-1960.694429,-3988.836325,-802.162885,0.088390,0.088390,0.088390
11.526839,-43.804386,-104.459608,-61.123852,0.003170,-0.000001,0.000001,-139.500841,-299.150982,-100.277280,-1960.860331,-3988.836319,-802.197208,0.088372,0.088372,0.088372
11.576839,-45.254511,-107.384703,-61.713507,0.001866,0.000001,-0.000001,-141.856092,-303.901425,-101.235385,-1961.034110,-3988.836345,-802.230665,0.088365,0.088365,0.088365
11.676839,-46.148225,-109.178821,-62.075638,-0.010161,-0.016398,-0.011393,-143.313980,-306.826447,-101.826421,-1961.189374,-3988.834876,-802.258265,0.088363,0.088363,0.088363
11.726839,-46.686516,-110.277134,-62.295759,-0.032921,-0.030760,-0.083101,-144.205143,-308.620386,-102.186184,-1961.138366,-3988.831296,-802.210932,0.088362,0.088362,0.088362
11.776839,-46.998931,-110.950069,-62.428119,-0.028524,-0.002565,-0.178921,-144.738097,-309.719891,-102.402761,-1961.031620,-3988.855148,-802.140035,0.088362,0.088362,0.088362
11.826839,-47.168653,-111.363448,-62.506975,-0.029658,0.063188,-0.345215,-145.045923,-310.394672,-102.531892,-1960.939847,-3988.892051,-802.075448,0.088362,0.088362,0.088362
11.876839,-47.250850,-111.618195,-62.553950,-0.027892,0.134616,-0.532446,-145.214988,-310.809520,-102.608897,-1960.926700,-3988.921456,-802.038440,0.088362,0.088362,0.088362
11.926839,-47.277375,-111.775871,-62.581757,-0.030923,0.199347,-0.733570,-145.297365,-311.065021,-102.654516,-1960.930289,-3988.936530,-802.011334,0.088362,0.088362,0.088362
11.976839,-47.267691,-111.874397,-62.597970,-0.031476,0.244431,-0.916612,-145.324919,-311.223194,-102.681134,-1960.950880,-3988.946451,-801.987533,0.088362,0.088362,0.088362
12.026839,-47.235077,-111.936608,-62.607488,0.015219,0.277243,-0.991531,-145.318065,-311.323046,-102.696786,-1961.007483,-3988.972978,-801.976332,0.088362,0.088362,0.088362
12.076839,-47.185684,-111.974386,-62.612900,-0.016532,0.288935,-1.106401,-145.287704,-311.382627,-102.705674,-1961.052550,-3988.920386,-801.963711,0.088362,0.088362,0.088362
12.126839,-47.120854,-111.998904,-62.615323,-0.024634,0.290419,-1.213144,-145.238198,-311.419990,-102.709626,-1961.050275,-3988.912075,-801.934519,0.088362,0.088362,0.088362
12.176839,-47.043275,-112.015896,-62.615885,-0.042086,0.302007,-1.364509,-145.173431,-311.444775,-102.710528,-1961.051529,-3988.917403,-801.904108,0.088362,0.088362,0.088362
12.226839,-46.954411,-112.028407,-62.615347,-0.038447,0.310559,-1.475554,-145.095601,-311.462004,-102.709628,-1961.046522,-3988.922159,-801.874853,0.088362,0.088362,0.088362
12.276839,-46.855905,-112.038226,-62.614206,-0.047270,0.324120,-1.616532,-145.007002,-311.474583,-102.707750,-1961.051818,-3988.923520,-801.848075,0.088362,0.088362,0.088362
12.326839,-46.748458,-112.046661,-62.612659,-0.035076,0.334734,-1.701726,-144.909101,-311.484609,-102.705207,-1961.063911,-3988.927661,-801.820008,0.088362,0.088362,0.088362
12.376839,-46.633536,-112.054285,-62.611095,-0.040743,0.343687,-1.834012,-144.803152,-311.493089,-102.702653,-1961.093874,-3988.928560,-801.799869,0.088362,0.088362,0.088362
12.426839,-46.510861,-112.061612,-62.609494,-0.025050,0.345789,-1.903592,-144.689242,-311.500838,-102.700034,-1961.114121,-3988.931055,-801.778773,0.088362,0.088362,0.088362
12.476839,-46.379673,-112.068860,-62.607709,-0.033875,0.344574,-2.021095,-144.566902,-311.508175,-102.697099,-1961.120822,-3988.931259,-801.752110,0.088362,0.088362,0.088362
12.526839,-46.238745,-112.075553,-62.605632,0.056338,0.344877,-1.892633,-144.434788,-311.517032,-102.693674,-1961.102295,-3988.963439,-801.719295,0.088362,0.088362,0.088362
12.576839,-46.087699,-112.077887,-62.603185,-0.011873,0.347037,-1.892931,-144.292640,-311.517998,-102.689660,-1961.077908,-3988.848914,-801.680564,0.088362,0.088362,0.088362
12.626839,-45.925596,-112.081777,-62.600428,-0.037340,0.353774,-1.901722,-144.139389,-311.520295,-102.685094,-1961.033805,-3988.848162,-801.638169,0.088362,0.088362,0.088362
12.676839,-45.751985,-112.087612,-62.597365,-0.034638,0.366047,-1.921012,-143.974526,-311.525625,-102.680010,-1960.978608,-3988.876965,-801.591655,0.088362,0.088362,0.088362
12.726839,-45.567296,-112.094082,-62.594111,-0.028282,0.382547,-1.929084,-143.798516,-311.531841,-102.674622,-1960.930613,-3988.884595,-801.545154,0.088362,0.088362,0.088362
12.776839,-45.371987,-112.100968,-62.590799,-0.025702,0.400118,-1.940660,-143.611808,-311.538457,-102.669154,-1960.890258,-3988.887501,-801.500858,0.088362,0.088362,0.088362
12.826839,-45.166284,-112.108248,-62.587512,-0.023215,0.416031,-1.950876,-143.414583,-311.545484,-102.663738,-1960.851932,-3988.890326,-801.458778,0.088362,0.088362,0.088362
12.876839,-44.950829,-112.114980,-62.584277,0.053447,0.429488,-1.778448,-143.207727,-311.554065,-102.658440,-1960.828850,-3988.916331,-801.418551,0.088362,0.088362,0.088362
12.926839,-44.725166,-112.117925,-62.581085,-0.007580,0.438065,-1.711208,-142.990467,-311.555397,-102.653240,-1960.792753,-3988.808336,-801.379256,0.088362,0.088362,0.088362
12.976839,-44.489788,-112.122624,-62.577935,-0.035333,0.444052,-1.683972,-142.763671,-311.558649,-102.648105,-1960.770087,-3988.814495,-801.340393,0.088362,0.088362,0.088362
13.026839,-44.244311,-112.129014,-62.574725,-0.029012,0.448318,-1.652278,-142.526723,-311.564715,-102.642930,-1960.738698,-3988.841828,-801.299887,0.088362,0.088362,0.088362
13.076839,-43.992659,-112.135662,-62.572183,-0.025443,0.472751,-1.624083,-142.282789,-311.571203,-102.638859,-1960.769556,-3988.843785,-801.282687,0.088362,0.088362,0.088362
13.126839,-43.742215,-112.142252,-62.571340,-0.017064,0.472228,-1.598660,-142.039076,-311.577627,-102.637639,-1960.928332,-3988.839306,-801.309124,0.088362,0.088362,0.088362
13.176839,-43.493946,-112.148802,-62.571844,-0.013581,0.442396,-1.577718,-141.798007,-311.584003,-102.638618,-1961.115845,-3988.835011,-801.345563,0.088362,0.088362,0.088362
13.226839,-43.246099,-112.155005,-62.573007,0.035927,0.390060,-1.455677,-141.558096,-311.591326,-102.640648,-1961.283002,-3988.850479,-801.376075,0.088362,0.088362,0.088362
13.276839,-42.998164,-112.158311,-62.574538,0.002842,0.339975,-1.364809,-141.318348,-311.593817,-102.643281,-1961.444979,-3988.776230,-801.405490,0.088362,0.088362,0.088362
13.326839,-42.750398,-112.161937,-62.576387,-0.013136,0.287804,-1.311657,-141.078946,-311.596375,-102.646393,-1961.615635,-3988.761270,-801.437096,0.088362,0.088362,0.088362
13.376839,-42.494902,-112.166772,-62.577223,-0.017510,0.187167,-1.272997,-140.833997,-311.600759,-102.647667,-1961.671975,-3988.776435,-801.425588,0.088362,0.088362,0.088362
13.426839,-42.212791,-112.172446,-62.574084,-0.017802,0.170791,-1.237255,-140.564702,-311.606255,-102.642199,-1961.395997,-3988.789662,-801.299523,0.088362,0.088362,0.088362
13.476839,-41.913610,-112.178105,-62.569836,0.019574,0.221686,-1.124536,-140.275223,-311.612822,-102.635052,-1961.248623,-3988.807513,-801.219366,0.088362,0.088362,0.088362
13.526839,-41.601357,-112.181626,-62.565379,-0.002735,0.283353,-1.040923,-139.971437,-311.615685,-102.627659,-1961.156543,-3988.751604,-801.156459,0.088362,0.088362,0.088362
13.576839,-41.277631,-112.185618,-62.561136,-0.020377,0.340691,-0.993988,-139.655606,-311.618872,-102.620645,-1961.084991,-3988.744919,-801.105312,0.088362,0.088362,0.088362
13.626839,-40.945779,-112.190477,-62.557512,-0.020272,0.394899,-0.957397,-139.331100,-311.623462,-102.614701,-1961.069366,-3988.756890,-801.071309,0.088362,0.088362,0.088362
13.676839,-40.612115,-112.195537,-62.555368,-0.020485,0.433103,-0.925496,-139.003978,-311.628478,-102.611277,-1961.163966,-3988.760026,-801.075289,0.088362,0.088362,0.088362
13.726839,-40.280873,-112.200280,-62.554925,0.005382,0.438724,-0.837798,-138.679118,-311.633925,-102.610716,-1961.340054,-3988.767762,-801.106956,0.088362,0.088362,0.088362
13.776839,-39.954939,-112.203141,-62.556196,-0.013482,0.416492,-0.771250,-138.359669,-311.636331,-102.613014,-1961.575922,-3988.721013,-801.161774,0.088362,0.088362,0.088362
13.826839,-39.635614,-112.206107,-62.558894,-0.023566,0.362447,-0.731880,-138.047386,-311.638685,-102.617639,-1961.848935,-3988.710884,-801.228858,0.088362,0.088362,0.088362
13.876839,-39.323245,-112.209557,-62.562672,-0.025016,0.297857,-0.705368,-137.742577,-311.641902,-102.624012,-1962.139259,-3988.715889,-801.302359,0.088362,0.088362,0.088362
13.926839,-39.016834,-112.213060,-62.567092,-0.020753,0.219098,-0.682984,-137.444134,-311.645361,-102.631400,-1962.417771,-3988.716083,-801.374554,0.088362,0.088362,0.088362
13.976839,-38.715672,-112.216419,-62.571771,-0.017447,0.145868,-0.664367,-137.151509,-311.648672,-102.639177,-1962.693496,-3988.712245,-801.441705,0.088362,0.088362,0.088362
14.026839,-38.417194,-112.219681,-62.576194,-0.015482,0.073682,-0.648578,-136.862269,-311.651853,-102.646477,-1962.931942,-3988.708690,-801.494119,0.088362,0.088362,0.088362
14.076839,-38.118580,-112.222744,-62.580037,0.000171,0.021519,-0.593569,-136.572957,-311.655364,-102.652786,-1963.115259,-3988.713669,-801.531852,0.088362,0.088362,0.088362
14.126839,-37.817577,-112.224592,-62.583033,-0.012303,-0.017583,-0.552775,-136.281477,-311.656851,-102.657666,-1963.257946,-3988.682141,-801.552579,0.088362,0.088362,0.088362
14.176839,-37.512271,-112.226627,-62.585137,-0.023040,-0.032688,-0.529218,-135.985600,-311.658441,-102.661045,-1963.360462,-3988.676983,-801.560250,0.088362,0.088362,0.088362
14.226839,-37.200773,-112.229132,-62.586291,-0.022057,-0.033869,-0.511942,-135.683426,-311.660782,-102.662835,-1963.423092,-3988.683094,-801.553955,0.088362,0.088362,0.088362
14.276839,-36.882288,-112.231770,-62.586611,-0.017662,-0.014104,-0.496964,-135.374054,-311.663370,-102.663249,-1963.465624,-3988.684746,-801.539162,0.088362,0.088362,0.088362
14.326839,-36.558010,-112.234395,-62.586509,-0.016315,0.020321,-0.483762,-135.058441,-311.665955,-102.663004,-1963.523071,-3988.683705,-801.527868,0.088362,0.088362,0.088362
14.376839,-36.231866,-112.236865,-62.586803,-0.001867,0.064724,-0.441655,-134.740000,-311.668767,-102.663483,-1963.639800,-3988.687439,-801.539483,0.088362,0.088362,0.088362
14.426839,-35.908054,-112.238410,-62.588042,-0.011096,0.092134,-0.409366,-134.423397,-311.670059,-102.665583,-1963.830607,-3988.663871,-801.575592,0.088362,0.088362,0.088362
14.476839,-35.588990,-112.240003,-62.590414,-0.013513,0.102330,-0.390036,-134.111415,-311.671344,-102.669572,-1964.067215,-3988.658684,-801.630592,0.088362,0.088362,0.088362
14.526839,-35.275693,-112.241858,-62.593673,-0.014375,0.086955,-0.376485,-133.805815,-311.673077,-102.675017,-1964.336486,-3988.661480,-801.692061,0.088362,0.088362,0.088362
14.576839,-34.967795,-112.243725,-62.597619,-0.012832,0.062616,-0.365616,-133.505740,-311.674918,-102.681582,-1964.600940,-3988.661200,-801.758162,0.088362,0.088362,0.088362
14.626839,-34.664244,-112.245575,-62.601800,-0.012666,0.022426,-0.356216,-133.210656,-311.676732,-102.688500,-1964.857238,-3988.660156,-801.817627,0.088362,0.088362,0.088362
14.676839,-34.363022,-112.247309,-62.605831,-0.013252,-0.012586,-0.348362,-132.918367,-311.678433,-102.695134,-1965.082461,-3988.657158,-801.866680,0.088362,0.088362,0.088362
14.726839,-34.061426,-112.248927,-62.609281,-0.002548,-0.045700,-0.315807,-132.626202,-311.680324,-102.700772,-1965.263586,-3988.660302,-801.898813,0.088362,0.088362,0.088362
14.776839,-33.757014,-112.249867,-62.611956,-0.008340,-0.060816,-0.292962,-132.331190,-311.681037,-102.705110,-1965.395263,-3988.642206,-801.916577,0.088362,0.088362,0.088362
14.826839,-33.448084,-112.250947,-62.613736,-0.011766,-0.065549,-0.280766,-132.031900,-311.681860,-102.707940,-1965.497714,-3988.639863,-801.919672,0.088362,0.088362,0.088362
14.876839,-33.132990,-112.252330,-62.614664,-0.009892,-0.050035,-0.272193,-131.726190,-311.683152,-102.709360,-1965.562115,-3988.644094,-801.912490,0.088362,0.088362,0.088362
14.926839,-32.811627,-112.253721,-62.614976,-0.007306,-0.022338,-0.264400,-131.413716,-311.684525,-102.709779,-1965.614530,-3988.643893,-801.902295,0.088362,0.088362,0.088362
14.976839,-32.486895,-112.255075,-62.615310,-0.001521,0.021089,-0.240674,-131.097040,-311.686081,-102.710289,-1965.708256,-3988.647192,-801.906251,0.088362,0.088362,0.088362
15.026839,-32.163329,-112.255918,-62.616360,-0.006466,0.054983,-0.222625,-130.781011,-311.686790,-102.712044,-1965.882318,-3988.634308,-801.934679,0.088362,0.088362,0.088362
15.076839,-31.843280,-112.256795,-62.618425,-0.010626,0.075173,-0.211831,-130.468033,-311.687495,-102.715508,-1966.094078,-3988.631542,-801.982978,0.088362,0.088362,0.088362
15.126839,-31.528050,-112.257809,-62.621368,-0.008661,0.069859,-0.204201,-130.160104,-311.688446,-102.720423,-1966.336491,-3988.633024,-802.039964,0.088362,0.088362,0.088362
15.176839,-31.218220,-112.258820,-62.625025,-0.010967,0.053814,-0.198061,-129.857920,-311.689449,-102.726509,-1966.597387,-3988.632799,-802.102836,0.088362,0.088362,0.088362
15.226839,-30.912276,-112.259800,-62.628964,-0.009013,0.020318,-0.192804,-129.560107,-311.690412,-102.733030,-1966.837742,-3988.631847,-802.160101,0.088362,0.088362,0.088362
15.276839,-30.608592,-112.260756,-62.632784,-0.008635,-0.010126,-0.188482,-129.265113,-311.691345,-102.739318,-1967.056739,-3988.630903,-802.207077,0.088362,0.088362,0.088362
15.326839,-30.304519,-112.261669,-62.636060,-0.004425,-0.040155,-0.170650,-128.970335,-311.692414,-102.744669,-1967.234868,-3988.633152,-802.237687,0.088362,0.088362,0.088362
15.376839,-29.997721,-112.262190,-62.638597,-0.005973,-0.053434,-0.158051,-128.672958,-311.692808,-102.748777,-1967.368782,-3988.622767,-802.254344,0.088362,0.088362,0.088362
15.426839,-29.685933,-112.262776,-62.640255,-0.010728,-0.057029,-0.151271,-128.370621,-311.693262,-102.751411,-1967.458015,-3988.621440,-802.256283,0.088362,0.088362,0.088362
15.476839,-29.367997,-112.263514,-62.641078,-0.009946,-0.040700,-0.146559,-128.061956,-311.693944,-102.752661,-1967.520467,-3988.623350,-802.248112,0.088362,0.088362,0.088362
15.526839,-29.044655,-112.264300,-62.641425,-0.011290,-0.010196,-0.142297,-127.747373,-311.694715,-102.753152,-1967.587522,-3988.624036,-802.241471,0.088362,0.088362,0.088362
15.576839,-28.719800,-112.265035,-62.642065,-0.005488,0.032142,-0.129602,-127.430470,-311.695559,-102.754190,-1967.716318,-3988.625191,-802.255291,0.088362,0.088362,0.088362
